ISSUER,full_name,vote_raw,against_reason,investor,vote
Smurfit Kappa Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
SSE Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Tesco Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Whitbread Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
WPP Plc,Approve Compensation Committee Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
3i Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Abrdn Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Airtel Africa Plc,Approve Remuneration Report,Against,No comment available,AllianceBernstein LP,AGAINST
Anglo American Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Associated British Foods,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Aviva,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
B&M European Value Retail,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Barclays,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Barratt Developments,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Beazley,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
BP Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,AllianceBernstein LP,FOR
British Land Co,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
BT Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Centrica,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
DCC Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
DS Smith Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Entain Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Experian Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
F&C Investment Trust Plc (Foreign & Colonial Investment Trust Plc),Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Frasers Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Fresnillo Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,AllianceBernstein LP,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Halma Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,AllianceBernstein LP,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
International Consolidated Airlines Group SA,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
M&G,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
National Grid Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Next Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Ocado Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Pearson Plc,Approve Remuneration Report,Against,No comment available,AllianceBernstein LP,AGAINST
Persimmon Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Prudential Plc,Approve Remuneration Report,Against,No comment available,AllianceBernstein LP,AGAINST
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Rightmove Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,AllianceBernstein LP,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,AllianceBernstein LP,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
RS Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Schroders Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Segro,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Smiths Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
SSE Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,AllianceBernstein LP,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,AllianceBernstein LP,FOR
3i Group,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Airtel Africa Plc,Approve Remuneration Report,Against,"AllianzGI believes that all incentive awards should be time pro-rated and tested for performance, including in the event of an early termination due to the change of control. Termination payments following a change of control should be similar to those available under normal circumstances. AllianzGI expects clear disclosure of KPIs under all management incentive plans to enable investors to better assess the link between management incentives and corporate strategy and performance.",Allianz Global Investors GmbH,AGAINST
Anglo American Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Associated British Foods,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Aviva,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
B&M European Value Retail,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Barclays,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Barratt Developments,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Beazley,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
BP Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,Against,AllianzGI encourages companies to include ESG KPIs in their remuneration policy.,Allianz Global Investors GmbH,AGAINST
British Land Co,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
BT Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Centrica,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
DCC Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
DS Smith Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Entain Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Experian Plc,Approve Remuneration Report,Against,AllianzGI encourages companies to include ESG KPIs in their remuneration policy.,Allianz Global Investors GmbH,AGAINST
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Frasers Group,Approve Remuneration Report,Against,AllianzGI encourages companies to include ESG KPIs in their remuneration policy,Allianz Global Investors GmbH,AGAINST
Fresnillo Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,Allianz Global Investors GmbH,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Halma Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,Allianz Global Investors GmbH,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
International Consolidated Airlines Group SA,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
M&G,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
National Grid Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Next Plc,Approve Remuneration Report,Against,AllianzGI encourages companies to include ESG KPIs in their remuneration policy.,Allianz Global Investors GmbH,AGAINST
Ocado Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Pearson Plc,Approve Remuneration Report,Against,AllianzGI notes an insufficient link between the company's performance and executive compensation during the year under review.,Allianz Global Investors GmbH,AGAINST
Persimmon Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Prudential Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,Allianz Global Investors GmbH,FOR
